Station ID,Date,PM2.5,PM10,NO2,CO,SO2
13019,3/24/2021,91,62,20,11,
13026,3/24/2021,10,8,25,10,1
1584,3/24/2021,47,32,11,3,21
1585,3/24/2021,,,8,5,4
13017,3/24/2021,111,81,15,7,
13020,3/24/2021,64,46,8,4,
13013,3/24/2021,127,90,17,11,
13014,3/24/2021,91,58,,10,
13252,3/24/2021,157,145,,,20
8767,3/29/2021,57,,,,
8688,3/29/2021,164,,,,
8641,3/29/2021,155,,6.9,0.1,4.1
13012,3/29/2021,108,68,12,5,3
12488,3/29/2021,10,8,,7,
13251,2/26/2021,1,1,50,12,1
12976,3/27/2021,50,38,8,3,6
13250,3/29/2021,154,59,1,34,46
5507,3/29/2021,,,,,
11778,3/22/2021,45,50,4,98,10
12958,3/27/2021,25,20,29,4,4
12957,3/26/2021,25,17,8,4,1
